Название,Хранение,Коллекция,Номинал,Вложения,Сумма
Ряжск,Капсула,Древние города России,10 рублей,,10
Касимов,Капсула,Древние города России,10 рублей,,10
Казань,Капсула,Древние города России,10 рублей,,10
Смоленск,Капсула,Древние города России,10 рублей,,10
Галич,Капсула,Древние города России,10 рублей,,10
Каргополь,Капсула,Древние города России,10 рублей,,10
Калуга,Капсула,Древние города России,10 рублей,,10
Смоленск,Капсула,Древние города России,10 рублей,,10
Азов,Капсула,Древние города России,10 рублей,,10
Боровск,Капсула,Древние города России,10 рублей,,10
Юрьевец,Капсула,Древние города России,10 рублей,,10
Брянск,Капсула,Древние города России,10 рублей,,10
Псков,Капсула,Древние города России,10 рублей,,10
Вологда,Капсула,Древние города России,10 рублей,,10
Мценск,Капсула,Древние города России,10 рублей,,10
Калининград,Капсула,Древние города России,10 рублей,,10
70 лет - Звезда,Капсула,Великая отечественная война,10 рублей,,10
75 лет,Капсула,Великая отечественная война,10 рублей,,10
"Никто не забыт, ничто не забыто",Капсула,Великая отечественная война,10 рублей,,10
"Никто не забыт, ничто не забыто",Капсула,Великая отечественная война,10 рублей,,10
"Никто не забыт, ничто не забыто",Капсула,Великая отечественная война,10 рублей,,10
70 лет - Родина Мать,Капсула,Великая отечественная война,10 рублей,,10
55 лет,Капсула,Великая отечественная война,10 рублей,,10
70 лет,Капсула,Великая отечественная война,10 рублей,,10
65 лет,Капсула,Великая отечественная война,10 рублей,,10
25-летие принятия конституции РФ,Капсула,Прочие,10 рублей,,10
Отечественная война 1812 года,Капсула,Прочие,10 рублей,,10
50 летие первого полета человека в космос,Капсула,Прочие,10 рублей,,10
Отечественная война 1812 года,Капсула,Прочие,10 рублей,,10
Универсиада в Казани 2013 год,Капсула,Прочие,10 рублей,,10
1150-летие зарождения российской государственности,Капсула,Прочие,10 рублей,,10
1150-летие зарождения российской государственности,Капсула,Прочие,10 рублей,,10
55 лет,Капсула,Великая отечественная война,10 рублей,,10
70 лет,Капсула,Великая отечественная война,10 рублей,,10
12 апреля 1961 года,Капсула,Прочие,10 рублей,,10
12 апреля 1961 года,Капсула,Прочие,10 рублей,,10
Министерство юстиции Российской Федерации,Капсула,Прочие,10 рублей,,10
Министерство образования Российской Федерации,Капсула,Прочие,10 рублей,,10
Министерство иностранных дел Российской Федерации,Капсула,Прочие,10 рублей,,10
Министерство экономического развития и торговли Российской Федерации,Капсула,Прочие,10 рублей,,10
Министерство внутренних дел Российской Федерации,Капсула,Прочие,10 рублей,,10
Вооруженные силы Российской Федерации,Капсула,Прочие,10 рублей,,10
Министерство финансов Российской Федерации,Капсула,Прочие,10 рублей,,10
,,,,,
